Category,Condition,No_of_studies
Symptoms and General Pathology,Hypoventilation,114
Symptoms and General Pathology,Hypovolemia,97
Symptoms and General Pathology,Hypoxia,876
Symptoms and General Pathology,Iatrogenic Disease,192
Symptoms and General Pathology,Illusions,7
Symptoms and General Pathology,Implant Capsular Contracture,3
Symptoms and General Pathology,Incisional Hernia,107
Symptoms and General Pathology,Infant Death,50
Symptoms and General Pathology,Infarction,2858
Symptoms and General Pathology,Inflammation,5385
Symptoms and General Pathology,Injection Site Reaction,18
Symptoms and General Pathology,Intellectual Disability,652
Symptoms and General Pathology,Interatrial Block,1
Symptoms and General Pathology,Intermittent Claudication,261
Symptoms and General Pathology,Intervertebral Disc Displacement,111
Symptoms and General Pathology,Intestinal Fistula,99
Symptoms and General Pathology,Intestinal Polyps,137
Symptoms and General Pathology,Intestinal Volvulus,10
Symptoms and General Pathology,Intracranial Hemorrhages,630
Symptoms and General Pathology,Intraoperative Awareness,23
Symptoms and General Pathology,Intraoperative Complications,167
Symptoms and General Pathology,Ischemia,9543
Symptoms and General Pathology,Jaundice,118
Symptoms and General Pathology,"Jaundice, Neonatal",39
Symptoms and General Pathology,"Jaundice, Obstructive",34
Symptoms and General Pathology,Jet Lag Syndrome,9
Symptoms and General Pathology,Kearns-Sayre Syndrome,7
Symptoms and General Pathology,Keloid,73
Symptoms and General Pathology,Kernicterus,7
Symptoms and General Pathology,Kidney Calculi,273
Symptoms and General Pathology,Korsakoff Syndrome,5
Symptoms and General Pathology,Labor Pain,161
Symptoms and General Pathology,Language Development Disorders,30
Symptoms and General Pathology,Language Disorders,444
Symptoms and General Pathology,Late Onset Disorders,12
Symptoms and General Pathology,Learning Disorders,83
Symptoms and General Pathology,Leg Length Inequality,23
Symptoms and General Pathology,Lethargy,5
Symptoms and General Pathology,Leukoaraiosis,10
Symptoms and General Pathology,Leukocytosis,27
Symptoms and General Pathology,Leukoplakia,32
Symptoms and General Pathology,"Leukoplakia, Hairy",1
Symptoms and General Pathology,"Leukoplakia, Oral",25
Symptoms and General Pathology,Lithiasis,13
Symptoms and General Pathology,Long QT Syndrome,74
Symptoms and General Pathology,Long Term Adverse Effects,11
Symptoms and General Pathology,Low Back Pain,1382
Symptoms and General Pathology,Lower Urinary Tract Symptoms,1452
Symptoms and General Pathology,Lymphatic Metastasis,13
Symptoms and General Pathology,Malignant Hyperthermia,5
Symptoms and General Pathology,Mastodynia,48
Symptoms and General Pathology,Maternal Death,40
Symptoms and General Pathology,Mediastinal Emphysema,2
Symptoms and General Pathology,Medically Unexplained Symptoms,27
Symptoms and General Pathology,Melena,12
Symptoms and General Pathology,Memory Disorders,165
Symptoms and General Pathology,Meningocele,1
Symptoms and General Pathology,Menorrhagia,149
Symptoms and General Pathology,Menstruation Disturbances,388
Symptoms and General Pathology,Mental Fatigue,29
Symptoms and General Pathology,Metaplasia,371
Symptoms and General Pathology,Metatarsalgia,20
Symptoms and General Pathology,Metrorrhagia,57
Symptoms and General Pathology,Microsatellite Instability,45
Symptoms and General Pathology,Microvascular Rarefaction,2
Symptoms and General Pathology,Miosis,17
Symptoms and General Pathology,Mobility Limitation,100
Symptoms and General Pathology,Monosomy,30
Symptoms and General Pathology,Morning Sickness,20
Symptoms and General Pathology,Morton Neuroma,14
Symptoms and General Pathology,Motion Sickness,13
Symptoms and General Pathology,Mouth Breathing,13
Symptoms and General Pathology,Multiple Chronic Conditions,31
Symptoms and General Pathology,Multiple Organ Failure,97
Symptoms and General Pathology,Muscle Cramp,297
Symptoms and General Pathology,Muscle Hypertonia,339
Symptoms and General Pathology,Muscle Hypotonia,65
Symptoms and General Pathology,Muscle Rigidity,118
Symptoms and General Pathology,Muscle Spasticity,471
Symptoms and General Pathology,Muscle Weakness,537
Symptoms and General Pathology,Muscular Atrophy,602
Symptoms and General Pathology,Musculoskeletal Pain,335
Symptoms and General Pathology,Mutism,14
Symptoms and General Pathology,Myalgia,199
Symptoms and General Pathology,Myocardial Reperfusion Injury,41
Symptoms and General Pathology,Myocardial Stunning,12
Symptoms and General Pathology,Myoclonus,25
Symptoms and General Pathology,Myokymia,1
Symptoms and General Pathology,Myotonia,11
Symptoms and General Pathology,"Nails, Malformed",8
Symptoms and General Pathology,Nasal Polyps,110
Symptoms and General Pathology,Nausea,823
Symptoms and General Pathology,Neck Pain,412
Symptoms and General Pathology,Necrosis,2680
Symptoms and General Pathology,Neglected Diseases,9
Symptoms and General Pathology,Neointima,10
Symptoms and General Pathology,Neonatal Sepsis,100
Symptoms and General Pathology,Neoplasm Metastasis,5996
Symptoms and General Pathology,Neoplasm Micrometastasis,23
Symptoms and General Pathology,"Neoplasm Recurrence, Local",23
Symptoms and General Pathology,"Neoplasm Regression, Spontaneous",1
Symptoms and General Pathology,Neoplasm Seeding,1
Symptoms and General Pathology,"Neoplasm, Residual",172
Symptoms and General Pathology,"Neoplasms, Unknown Primary",104
Symptoms and General Pathology,"Neoplastic Cells, Circulating",222
Symptoms and General Pathology,Neoplastic Processes,2601
Symptoms and General Pathology,"Neovascularization, Pathologic",395
Symptoms and General Pathology,Nephrogenic Fibrosing Dermopathy,15
Symptoms and General Pathology,Nerve Degeneration,85
Symptoms and General Pathology,Neuralgia,942
Symptoms and General Pathology,"Neuralgia, Postherpetic",152
Symptoms and General Pathology,Neurobehavioral Manifestations,2827
Symptoms and General Pathology,Neurogenic Inflammation,9
Symptoms and General Pathology,Neurologic Manifestations,18054
Symptoms and General Pathology,Neuromuscular Manifestations,1324
Symptoms and General Pathology,No-Reflow Phenomenon,14
Symptoms and General Pathology,Nociceptive Pain,58
Symptoms and General Pathology,Nocturia,85
Symptoms and General Pathology,Noncommunicable Diseases,33
Symptoms and General Pathology,Obesity,7799
Symptoms and General Pathology,"Obesity, Metabolically Benign",9
Symptoms and General Pathology,"Obesity, Morbid",570
Symptoms and General Pathology,Ochronosis,5
Symptoms and General Pathology,Olfaction Disorders,10
Symptoms and General Pathology,Oligomenorrhea,7
Symptoms and General Pathology,Oliguria,8
Symptoms and General Pathology,Ophthalmoplegia,89
Symptoms and General Pathology,"Ophthalmoplegia, Chronic Progressive External",8
Symptoms and General Pathology,Oral Hemorrhage,9
Symptoms and General Pathology,Oral Manifestations,17
Symptoms and General Pathology,Orthostatic Intolerance,198
Symptoms and General Pathology,Ossification of Posterior Longitudinal Ligament,4
Symptoms and General Pathology,"Ossification, Heterotopic",24
Symptoms and General Pathology,Osteonecrosis,142
Symptoms and General Pathology,Overweight,4032
Symptoms and General Pathology,Pain,16429
Symptoms and General Pathology,"Pain, Intractable",69
Symptoms and General Pathology,"Pain, Postoperative",2553
Symptoms and General Pathology,"Pain, Procedural",70
Symptoms and General Pathology,"Pain, Referred",14
Symptoms and General Pathology,Pancreatic Fistula,65
Symptoms and General Pathology,Paralysis,1370
Symptoms and General Pathology,Paraparesis,28
Symptoms and General Pathology,"Paraparesis, Spastic",17
Symptoms and General Pathology,Paraplegia,84
Symptoms and General Pathology,Parasitemia,25
Symptoms and General Pathology,Parental Death,26
Symptoms and General Pathology,Paresis,534
Symptoms and General Pathology,Paresthesia,29
Symptoms and General Pathology,"Pathological Conditions, Anatomical",5357
Symptoms and General Pathology,Pediatric Obesity,622
Symptoms and General Pathology,Pelvic Girdle Pain,19
Symptoms and General Pathology,Pelvic Organ Prolapse,384
Symptoms and General Pathology,Pelvic Pain,385
Symptoms and General Pathology,Peptic Ulcer Hemorrhage,59
Symptoms and General Pathology,Perceptual Disorders,273
Symptoms and General Pathology,Perinatal Death,60
Symptoms and General Pathology,Peritoneal Fibrosis,6
Symptoms and General Pathology,Persistent Vegetative State,38
Symptoms and General Pathology,Phantom Limb,84
Symptoms and General Pathology,Philadelphia Chromosome,242
Symptoms and General Pathology,Photophobia,22
Symptoms and General Pathology,Pica,1
Symptoms and General Pathology,Pigmentation Disorders,297
Symptoms and General Pathology,Piriformis Muscle Syndrome,1
Symptoms and General Pathology,"Plaque, Amyloid",26
Symptoms and General Pathology,"Plaque, Atherosclerotic",101
Symptoms and General Pathology,Polydipsia,7
Symptoms and General Pathology,"Polydipsia, Psychogenic",4
Symptoms and General Pathology,Polyps,665
Symptoms and General Pathology,Polyuria,24
Symptoms and General Pathology,Postcholecystectomy Syndrome,10
Symptoms and General Pathology,Postoperative Complications,4056
Symptoms and General Pathology,Postoperative Hemorrhage,113
Symptoms and General Pathology,Postoperative Nausea and Vomiting,323
Symptoms and General Pathology,Postpartum Hemorrhage,270
Symptoms and General Pathology,Postpericardiotomy Syndrome,3
Symptoms and General Pathology,Premenstrual Dysphoric Disorder,26
Symptoms and General Pathology,Premenstrual Syndrome,76
Symptoms and General Pathology,Presbycusis,25
Symptoms and General Pathology,Primary Graft Dysfunction,17
Symptoms and General Pathology,Primary Progressive Nonfluent Aphasia,13
Symptoms and General Pathology,Prodromal Symptoms,8
Symptoms and General Pathology,Prolapse,522
Symptoms and General Pathology,Prosopagnosia,1
Symptoms and General Pathology,Prostatism,5
Symptoms and General Pathology,Prosthesis Failure,29
Symptoms and General Pathology,Prosthesis-Related Infections,21
Symptoms and General Pathology,Proteinuria,409
Symptoms and General Pathology,Pruritus,340
Symptoms and General Pathology,Pseudophakia,24
Symptoms and General Pathology,Psychomotor Agitation,468
Symptoms and General Pathology,Psychomotor Disorders,367
Symptoms and General Pathology,Psychophysiologic Disorders,23
Symptoms and General Pathology,Pudendal Neuralgia,5
Symptoms and General Pathology,Pupil Disorders,39
Symptoms and General Pathology,Purpura,316
Symptoms and General Pathology,Purpura Fulminans,2
Symptoms and General Pathology,"Purpura, Schoenlein-Henoch",23
Symptoms and General Pathology,"Purpura, Thrombocytopenic",285
Symptoms and General Pathology,"Purpura, Thrombocytopenic, Idiopathic",247
Symptoms and General Pathology,"Purpura, Thrombotic Thrombocytopenic",36
Symptoms and General Pathology,Quadriplegia,121
Symptoms and General Pathology,Rare Diseases,427
Symptoms and General Pathology,Rectal Fistula,83
Symptoms and General Pathology,Rectal Prolapse,30
Symptoms and General Pathology,Rectocele,29
Symptoms and General Pathology,Rectovaginal Fistula,4
Symptoms and General Pathology,Recurrence,1730
Symptoms and General Pathology,"Reflex, Abnormal",9
Symptoms and General Pathology,"Remission, Spontaneous",2
Symptoms and General Pathology,Renal Colic,49
Symptoms and General Pathology,Reperfusion Injury,271
Symptoms and General Pathology,Respiratory Aspiration,3130
Symptoms and General Pathology,Respiratory Aspiration of Gastric Contents,11
Symptoms and General Pathology,Respiratory Paralysis,20
Symptoms and General Pathology,Respiratory Sounds,136
Symptoms and General Pathology,Retinal Hemorrhage,5
Symptoms and General Pathology,Retinal Neovascularization,25
Symptoms and General Pathology,Retroperitoneal Fibrosis,7
Symptoms and General Pathology,Romano-Ward Syndrome,3
Symptoms and General Pathology,"Rupture, Spontaneous",11
Symptoms and General Pathology,Sarcopenia,381
Symptoms and General Pathology,Sciatica,97
Symptoms and General Pathology,Sclerosis,2735
Symptoms and General Pathology,Scotoma,14
Symptoms and General Pathology,Seizures,871
Symptoms and General Pathology,"Seizures, Febrile",11
Symptoms and General Pathology,Sensation Disorders,1418
Symptoms and General Pathology,Sepsis,1925
Symptoms and General Pathology,Seroma,70
Symptoms and General Pathology,Sex Chromosome Aberrations,11
Symptoms and General Pathology,Shock,1421
Symptoms and General Pathology,"Shock, Cardiogenic",79
Symptoms and General Pathology,"Shock, Hemorrhagic",49
Symptoms and General Pathology,"Shock, Septic",585
Symptoms and General Pathology,"Shock, Surgical",1
Symptoms and General Pathology,"Shock, Traumatic",9
Symptoms and General Pathology,Short Bowel Syndrome,90
Symptoms and General Pathology,Shoulder Pain,293
Symptoms and General Pathology,Sick Sinus Syndrome,62
Symptoms and General Pathology,"Signs and Symptoms, Digestive",2913
Symptoms and General Pathology,"Signs and Symptoms, Respiratory",2557
Symptoms and General Pathology,Skin Manifestations,794
Symptoms and General Pathology,Sleep Deprivation,167
Symptoms and General Pathology,Sleep Wake Disorders,3270
Symptoms and General Pathology,Sleepiness,223
Symptoms and General Pathology,Sneezing,18
Symptoms and General Pathology,Snoring,83
Symptoms and General Pathology,Solitary Kidney,3
Symptoms and General Pathology,Somatosensory Disorders,169
Symptoms and General Pathology,Space Motion Sickness,1
Symptoms and General Pathology,Spasm,297
Symptoms and General Pathology,Speech Disorders,356
Symptoms and General Pathology,Spermatocele,1
Symptoms and General Pathology,Splenomegaly,38
Symptoms and General Pathology,Staghorn Calculi,1
Symptoms and General Pathology,Status Epilepticus,58
Symptoms and General Pathology,Stillbirth,81
Symptoms and General Pathology,Striae Distensae,28
Symptoms and General Pathology,Stupor,3
Symptoms and General Pathology,Stuttering,26
Symptoms and General Pathology,Subarachnoid Hemorrhage,287
Symptoms and General Pathology,Subcutaneous Emphysema,81
Symptoms and General Pathology,Sudden Infant Death,21
Symptoms and General Pathology,Suppuration,352
Symptoms and General Pathology,"Supranuclear Palsy, Progressive",81
Symptoms and General Pathology,Surgical Wound Dehiscence,26
Symptoms and General Pathology,Surgical Wound Infection,415
Symptoms and General Pathology,Susac Syndrome,2
Symptoms and General Pathology,Symptom Flare Up,1
Symptoms and General Pathology,Syncope,151
Symptoms and General Pathology,"Syncope, Vasovagal",43
Symptoms and General Pathology,Syndrome,23987
Symptoms and General Pathology,Synkinesis,2
Symptoms and General Pathology,Systemic Inflammatory Response Syndrome,1639
Symptoms and General Pathology,Systolic Murmurs,3
Symptoms and General Pathology,Tachycardia,485
Symptoms and General Pathology,"Tachycardia, Atrioventricular Nodal Reentry",11
Symptoms and General Pathology,"Tachycardia, Ectopic Atrial",3
Symptoms and General Pathology,"Tachycardia, Ectopic Junctional",1
Symptoms and General Pathology,"Tachycardia, Paroxysmal",3
Symptoms and General Pathology,"Tachycardia, Reciprocating",11
Symptoms and General Pathology,"Tachycardia, Sinus",8
Symptoms and General Pathology,"Tachycardia, Supraventricular",67
Symptoms and General Pathology,"Tachycardia, Ventricular",251
Symptoms and General Pathology,Tachypnea,33
Symptoms and General Pathology,Tardive Dyskinesia,48
Symptoms and General Pathology,Taste Disorders,26
Symptoms and General Pathology,Teratogenesis,10
Symptoms and General Pathology,Tetany,310
Symptoms and General Pathology,Tetrasomy,1
Symptoms and General Pathology,Thinness,30
Symptoms and General Pathology,Tics,178
Symptoms and General Pathology,Tinea Pedis,53
Symptoms and General Pathology,Tinnitus,221
Symptoms and General Pathology,Tissue Adhesions,300
Symptoms and General Pathology,Toothache,123
Symptoms and General Pathology,Torsades de Pointes,8
Symptoms and General Pathology,Torsion Abnormality,27
Symptoms and General Pathology,Torticollis,97
Symptoms and General Pathology,Tracheoesophageal Fistula,10
Symptoms and General Pathology,Transient Tachypnea of the Newborn,25
Symptoms and General Pathology,"Translocation, Genetic",131
Symptoms and General Pathology,Tremor,218
Symptoms and General Pathology,Trismus,38
Symptoms and General Pathology,Trisomy,68
Symptoms and General Pathology,Ulcer,2926
Symptoms and General Pathology,Unconsciousness,336
Symptoms and General Pathology,Uniparental Disomy,1
Symptoms and General Pathology,Ureteral Calculi,72
Symptoms and General Pathology,Urinary Bladder Calculi,4
Symptoms and General Pathology,"Urinary Bladder, Neurogenic",97
Symptoms and General Pathology,"Urinary Bladder, Overactive",567
Symptoms and General Pathology,"Urinary Bladder, Underactive",9
Symptoms and General Pathology,Urinary Calculi,302
Symptoms and General Pathology,Urinary Fistula,6
Symptoms and General Pathology,Urinary Incontinence,882
Symptoms and General Pathology,"Urinary Incontinence, Stress",354
Symptoms and General Pathology,"Urinary Incontinence, Urge",136
Symptoms and General Pathology,Urological Manifestations,1753
Symptoms and General Pathology,Usher Syndromes,16
Symptoms and General Pathology,Uterine Hemorrhage,488
Symptoms and General Pathology,Uterine Prolapse,75
Symptoms and General Pathology,Uterine Retroversion,1
Symptoms and General Pathology,Vaginal Fistula,12
Symptoms and General Pathology,Vascular Fistula,121
Symptoms and General Pathology,Vascular Remodeling,12
Symptoms and General Pathology,Vasoplegia,15
Symptoms and General Pathology,Ventricular Fibrillation,130
Symptoms and General Pathology,Ventricular Flutter,6
Symptoms and General Pathology,Ventricular Premature Complexes,41
Symptoms and General Pathology,Ventricular Remodeling,93
Symptoms and General Pathology,Vertigo,163
Symptoms and General Pathology,Vesicovaginal Fistula,5
Symptoms and General Pathology,Viremia,101
Symptoms and General Pathology,Virilism,18
Symptoms and General Pathology,Visceral Pain,36
Symptoms and General Pathology,Visceral Prolapse,1
Symptoms and General Pathology,Vision Disorders,428
Symptoms and General Pathology,"Vision, Low",144
Symptoms and General Pathology,Vitreous Hemorrhage,34
Symptoms and General Pathology,Vocal Cord Paralysis,29
Symptoms and General Pathology,Voice Disorders,90
Symptoms and General Pathology,Vomiting,847
Symptoms and General Pathology,Weight Gain,396
Symptoms and General Pathology,Weight Loss,1956
Symptoms and General Pathology,XYY Karyotype,3
Symptoms and General Pathology,Yang Deficiency,3
Symptoms and General Pathology,Yin Deficiency,7
Symptoms and General Pathology,Zenker Diverticulum,7
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","46, XX Disorders of Sex Development",55
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Abortion, Habitual",107
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Abortion, Incomplete",13
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Abortion, Missed",28
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Abortion, Septic",3
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Abortion, Spontaneous",250
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Abortion, Threatened",13
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Abruptio Placentae,14
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Acidosis, Renal Tubular",9
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Acute Kidney Injury,786
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Adenomyosis,54
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Adnexal Diseases,2678
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Adrenal Hyperplasia, Congenital",103
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Adrenogenital Syndrome,103
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",AIDS-Associated Nephropathy,6
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Albuminuria,132
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Anovulation,87
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Anti-Glomerular Basement Membrane Disease,4
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Anuria,7
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Asthenozoospermia,15
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Atrophic Vaginitis,35
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Atypical Hemolytic Uremic Syndrome,25
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Atypical Squamous Cells of the Cervix,6
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Azoospermia,45
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Azotemia,33
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Bacteriuria,55
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Balanitis,2
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Balanitis Xerotica Obliterans,1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Balkan Nephropathy,1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Bartter Syndrome,4
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Bladder Exstrophy,9
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Breech Presentation,25
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Brenner Tumor,72
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Candidiasis, Vulvovaginal",57
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Carcinoma, Endometrioid",110
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Carcinoma, Ovarian Epithelial",2193
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Carcinoma, Renal Cell",1502
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Cardio-Renal Syndrome,49
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Chlamydia Infections,167
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Chorioamnionitis,30
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Choriocarcinoma,65
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Chronic Kidney Disease-Mineral and Bone Disorder,35
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Cryptorchidism,21
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Cystinuria,17
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Cystitis,204
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Cystitis, Interstitial",147
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Cystocele,51
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Dent Disease,9
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Denys-Drash Syndrome,2
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Depression, Postpartum",205
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Diabetes Insipidus,107
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Diabetes Insipidus, Nephrogenic",4
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Diabetes Insipidus, Neurogenic",4
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Diabetes, Gestational",426
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Diabetic Nephropathies,333
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Disorders of Sex Development,261
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Diurnal Enuresis,6
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Dyspareunia,74
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Dystocia,62
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Eclampsia,434
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Embryo Loss,3
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Endometrial Hyperplasia,45
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Endometrial Neoplasms,663
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Endometrial Stromal Tumors,10
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Endometriosis,363
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Endometritis,40
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Enuresis,882
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Epididymitis,1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Epispadias,6
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Erectile Dysfunction,434
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Erythroblastosis, Fetal",20
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fallopian Tube Diseases,555
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fallopian Tube Neoplasms,554
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Familial Hypophosphatemic Rickets,38
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fanconi Syndrome,89
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Alcohol Spectrum Disorders,36
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Death,107
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Diseases,261
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Growth Retardation,162
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Hypoxia,12
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Macrosomia,39
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Fetal Membranes, Premature Rupture",108
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fetal Nutrition Disorders,2
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fournier Gangrene,8
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Fraser Syndrome,1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Frasier Syndrome,2
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Galactorrhea,6
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Genital Diseases, Female",7167
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Genital Diseases, Male",7007
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Genital Neoplasms, Female",3331
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Genital Neoplasms, Male",3947
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Gestational Trophoblastic Disease,76
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Gitelman Syndrome,4
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Glomerulonephritis,361
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Glomerulonephritis, IGA",102
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Glomerulonephritis, Membranoproliferative",17
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Glomerulonephritis, Membranous",59
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Glomerulosclerosis, Focal Segmental",63
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Glycosuria, Renal",1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Gonadal Dysgenesis,162
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Gonadal Dysgenesis, 46,XX",1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Gonorrhea,99
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Granulomatous Mastitis,5
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Granulosa Cell Tumor,7
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Gynatresia,18
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",HELLP Syndrome,21
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hematuria,37
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hemoglobinuria,106
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hemolytic-Uremic Syndrome,42
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hemospermia,1
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hepatorenal Syndrome,35
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hereditary Breast and Ovarian Cancer Syndrome,36
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Herpes Genitalis,64
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hydatidiform Mole,13
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Hydatidiform Mole, Invasive",2
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hydronephrosis,46
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hydrops Fetalis,8
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hyperandrogenism,69
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hyperemesis Gravidarum,18
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hyperoxaluria,44
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Hyperoxaluria, Primary",30
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Hypertension, Pregnancy-Induced",469
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Hypertension, Renal",26
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Hypertension, Renovascular",14
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Hypophosphatemia, Familial",39
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Hypospadias,57
"Urinary Tract, Sexual Organs, and Pregnancy Conditions","Impotence, Vasculogenic",2
"Urinary Tract, Sexual Organs, and Pregnancy Conditions",Infertility,1737
